	Agalychnis_lemur	Allobates_talamancae	Atelopus_zeteki	Bolitoglossa_colonnea	Bolitoglossa_schizodactyla	Cochranella_euknemos	Cochranella_granulosa	Colostethus_inguinalis	Colostethus_sp.	Craugastor_azueroensis	Craugastor_bransfordii	Craugastor_crassidigitus	Craugastor_gollmeri	Craugastor_megacephalus	Craugastor_noblei	Craugastor_punctariolus	Craugastor_sp.	Craugastor_tabasarae	Craugastor_talamancae	Dendrobates_auratus	Dendrobates_vicente	Diasporus_diastema	Diasporus_diastema_orange	Diasporus_peep	Diasporus_vocator	Ecnomiohyla_miliaria	Eleutherodactylus_podi-noblei	Eleutherodactylus_spp	Engystomops_pustulosus	Espadarana_prosoblepon	Gastrotheca_cornuta	Hyalinobatrachium_chirripoi	Hyalinobatrachium_colymbiphyllum	Hyalinobatrachium_talamancae	Hyalinobatrachium_vireovittatum	Hyloscirtus_colymba	Hyloscirtus_palmeri	Incilus_coniferus	Leptodactylus_mystacinus	Leptodactylus_pentadactylus	Lithobates_warszewitschii	Nelsonophryne_aterrima	Phyllobates_lugubris	Pristimantis_caryophyllaceus	Pristimantis_cerasinus	Pristimantis_cruentus	Pristimantis_cruentus_masonii	Pristimantis_gaigei	Pristimantis_museosus	Pristimantis_pardalis	Pristimantis_ridens	Ranitomeya_minutus	Rhaebo_haematiticus	Rhinella_marina	Sachatamia_albomaculata	Sachatamia_ilex	Silverstoneia_flotator	Silverstoneia_nubicola	Smilisca_phaeota	Strabomantis_bufoniformis	Teratohyla_spinosa
101	0	0	0.28	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.16	0	0	0	0	0	0	0	0.04	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.08	0
102	0	0	0.428571429	0	0	0	0	0.142857143	0.428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	0	0	0.1	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
104	0	0	0.138888889	0	0.027777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0	0.166666667	0	0	0.166666667	0.027777778	0	0.111111111	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0.083333333	0	0	0.027777778	0	0	0
105	0	0	0.361111111	0	0	0	0	0	0	0	0	0	0	0	0	0.027777778	0	0	0.027777778	0	0	0	0	0	0	0	0	0	0	0.027777778	0.027777778	0	0.166666667	0	0	0	0.027777778	0	0	0	0	0	0	0	0	0.194444444	0	0	0	0	0	0	0	0	0.138888889	0	0	0	0	0	0
106	0	0	0.111111111	0	0	0	0	0.111111111	0.555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111	0.111111111	0	0	0
107	0	0	0.615384615	0	0	0	0	0.230769231	0.076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076923077	0	0	0	0
108	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	0	0	0	0	0	0	0	0	0	0	0.233333333	0	0	0.066666667	0	0	0.133333333	0	0	0	0	0	0	0	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0	0	0.033333333	0	0	0
109	0	0	0.333333333	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666667	0	0	0
110	0	0	0.166666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055555556	0	0	0	0	0	0	0	0	0	0	0.055555556	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
